snapshot_time_utc,currency,instrument_name,option_type,strike,expiry_utc,dte_days,index_price,underlying_price,mark_price,mark_price_usd,mark_iv,bid_iv,ask_iv,best_bid_price,best_ask_price,best_bid_amount,best_ask_amount,last_price,open_interest,volume_24h,delta,gamma,vega,theta,rho,contract_size,tick_size
2026-06-21T13:14:10.806003+00:00,BTC,BTC-31JUL26-69000-C,call,69000.0,2026-07-31T08:00:00+00:00,39.7818,64069.15,64244.2,0.01988618,1277.5717,35.26,,,0.0195,0.0205,,,0.02,583.6,7.0,,,,,,1.0,0.0001
2026-06-21T13:14:10.806003+00:00,BTC,BTC-28AUG26-63000-P,put,63000.0,2026-08-28T08:00:00+00:00,67.7818,64069.15,64432.85,0.05554384,3578.8479,38.91,,,0.055,0.056,,,0.0545,100.0,0.3,,,,,,1.0,0.0001
2026-06-21T13:14:10.806003+00:00,BTC,BTC-24JUN26-64000-P,put,64000.0,2026-06-24T08:00:00+00:00,2.7818,64069.15,64069.15,0.01270657,814.0991,37.68,,,0.0125,0.013,,,0.013,113.1,113.1,,,,,,1.0,0.0001
2026-06-21T13:14:10.806003+00:00,BTC,BTC-28AUG26-110000-P,put,110000.0,2026-08-28T08:00:00+00:00,67.7818,64069.15,64432.85,0.70763861,45595.1724,48.32,,,0.65,0.772,,,,0.0,0.0,,,,,,1.0,0.0001
2026-06-21T13:14:10.806003+00:00,BTC,BTC-25DEC26-40000-C,call,40000.0,2026-12-25T08:00:00+00:00,186.7818,64069.15,65359.55,0.40400584,26405.6399,55.57,,,0.402,0.4065,,,0.4125,63.3,0.0,,,,,,1.0,0.0001
2026-06-21T13:14:10.806003+00:00,BTC,BTC-25DEC26-135000-P,put,135000.0,2026-12-25T08:00:00+00:00,186.7818,64069.15,65359.55,1.06832099,69824.9792,47.48,,,0.997,1.152,,,0.909,0.6,0.0,,,,,,1.0,0.0001
2026-06-21T13:14:10.806003+00:00,BTC,BTC-26MAR27-105000-C,call,105000.0,2027-03-26T08:00:00+00:00,277.7818,64069.15,66061.49,0.02423278,1600.8536,42.93,,,0.0235,0.025,,,0.023,150.3,0.0,,,,,,1.0,0.0001
2026-06-21T13:14:10.806003+00:00,BTC,BTC-26MAR27-100000-P,put,100000.0,2027-03-26T08:00:00+00:00,277.7818,64069.15,66061.77,0.54371594,35918.8374,42.56,,,0.4965,0.6245,,,0.577,12.1,0.0,,,,,,1.0,0.0001
2026-06-21T13:14:10.806003+00:00,BTC,BTC-28AUG26-58000-P,put,58000.0,2026-08-28T08:00:00+00:00,67.7818,64069.15,64432.85,0.02994397,1929.3753,42.11,,,0.0295,0.0305,,,0.032,302.8,0.0,,,,,,1.0,0.0001
2026-06-21T13:14:10.806003+00:00,BTC,BTC-10JUL26-70000-P,put,70000.0,2026-07-10T08:00:00+00:00,18.7818,64069.15,64118.76,0.09702575,6221.1708,34.36,,,0.0845,0.124,,,0.129,0.1,0.0,,,,,,1.0,0.0001
2026-06-21T13:14:10.806003+00:00,BTC,BTC-31JUL26-65000-C,call,65000.0,2026-07-31T08:00:00+00:00,39.7818,64069.15,64244.2,0.04348726,2793.8042,37.12,,,0.043,0.044,,,0.045,888.6,1.0,,,,,,1.0,0.0001
2026-06-21T13:14:10.806003+00:00,BTC,BTC-28AUG26-81000-P,put,81000.0,2026-08-28T08:00:00+00:00,67.7818,64069.15,64432.85,0.26260227,16920.2127,36.15,,,0.2355,0.3155,,,0.3265,0.1,0.0,,,,,,1.0,0.0001
2026-06-21T13:14:10.806003+00:00,BTC,BTC-26JUN26-320000-C,call,320000.0,2026-06-26T08:00:00+00:00,4.7818,64069.15,64049.52,0.0,0.0,125.23,,,,0.0001,,,0.0001,135.9,0.0,,,,,,1.0,0.0001
2026-06-21T13:14:10.806003+00:00,BTC,BTC-26JUN26-94000-C,call,94000.0,2026-06-26T08:00:00+00:00,4.7818,64069.15,64049.52,3.4e-07,0.0218,80.08,,,,0.0001,,,0.0001,244.9,0.0,,,,,,1.0,0.0001
2026-06-21T13:14:10.806003+00:00,BTC,BTC-24JUN26-61000-C,call,61000.0,2026-06-24T08:00:00+00:00,2.7818,64069.15,64069.15,0.04995331,3200.4661,46.97,,,0.023,0.0685,,,,0.0,0.0,,,,,,1.0,0.0001
2026-06-21T13:14:10.806003+00:00,BTC,BTC-28AUG26-46000-P,put,46000.0,2026-08-28T08:00:00+00:00,67.7818,64069.15,64432.85,0.00699521,450.7213,55.06,,,0.0065,0.0075,,,0.0075,80.6,0.3,,,,,,1.0,0.0001
2026-06-21T13:14:10.806003+00:00,BTC,BTC-26JUN26-140000-P,put,140000.0,2026-06-26T08:00:00+00:00,4.7818,64069.15,64049.69,1.18580395,75950.3754,113.48,,,1.112,1.2645,,,0.8405,23.1,0.0,,,,,,1.0,0.0001
2026-06-21T13:14:10.806003+00:00,BTC,BTC-24JUN26-66500-C,call,66500.0,2026-06-24T08:00:00+00:00,2.7818,64069.15,64069.15,0.00200103,128.2043,37.0,,,0.0018,0.0022,,,0.0014,0.9,0.9,,,,,,1.0,0.0001
2026-06-21T13:14:10.806003+00:00,BTC,BTC-26MAR27-140000-C,call,140000.0,2027-03-26T08:00:00+00:00,277.7818,64069.15,66061.49,0.00710411,469.3081,46.3,,,0.0065,0.0075,,,0.0065,711.9,0.0,,,,,,1.0,0.0001
2026-06-21T13:14:10.806003+00:00,BTC,BTC-26JUN26-155000-P,put,155000.0,2026-06-26T08:00:00+00:00,4.7818,64069.15,64049.52,1.41999723,90950.141,125.22,,,1.3385,1.5075,,,0.6805,1.8,0.0,,,,,,1.0,0.0001
2026-06-21T13:14:10.806003+00:00,BTC,BTC-31JUL26-50000-C,call,50000.0,2026-07-31T08:00:00+00:00,39.7818,64069.15,64244.2,0.2272411,14598.9227,53.64,,,0.203,0.237,,,0.203,2.3,0.0,,,,,,1.0,0.0001
2026-06-21T13:14:10.806003+00:00,BTC,BTC-25DEC26-62000-C,call,62000.0,2026-12-25T08:00:00+00:00,186.7818,64069.15,65359.55,0.14661227,9582.512,43.03,,,0.1445,0.149,,,0.14,81.2,0.0,,,,,,1.0,0.0001
2026-06-21T13:14:10.806003+00:00,BTC,BTC-26JUN26-72000-P,put,72000.0,2026-06-26T08:00:00+00:00,4.7818,64069.15,64049.52,0.12437653,7966.257,45.82,,,0.1195,0.13,,,0.129,3101.6,0.2,,,,,,1.0,0.0001
2026-06-21T13:14:10.806003+00:00,BTC,BTC-26JUN26-80000-C,call,80000.0,2026-06-26T08:00:00+00:00,4.7818,64069.15,64049.52,3.06e-05,1.9599,64.57,,,,0.0001,,,0.0001,6249.9,0.7,,,,,,1.0,0.0001
2026-06-21T13:14:10.806003+00:00,BTC,BTC-25SEP26-30000-C,call,30000.0,2026-09-25T08:00:00+00:00,95.7818,64069.15,64692.92,0.53831277,34825.025,74.17,,,0.5375,0.54,,,0.538,104.7,9.0,,,,,,1.0,0.0001
2026-06-21T13:14:10.806003+00:00,BTC,BTC-31JUL26-108000-P,put,108000.0,2026-07-31T08:00:00+00:00,39.7818,64069.15,64244.2,0.6813095,43770.1838,57.86,,,0.6245,0.744,,,,0.0,0.0,,,,,,1.0,0.0001
2026-06-21T13:14:10.806003+00:00,BTC,BTC-31JUL26-73000-C,call,73000.0,2026-07-31T08:00:00+00:00,39.7818,64069.15,64244.2,0.00830628,533.6303,34.94,,,0.0075,0.0085,,,0.0075,285.7,12.1,,,,,,1.0,0.0001
2026-06-21T13:14:10.806003+00:00,BTC,BTC-26MAR27-108000-C,call,108000.0,2027-03-26T08:00:00+00:00,277.7818,64069.15,66061.77,0.02141468,1414.6917,43.17,,,0.0205,0.0225,,,0.0255,48.4,0.0,,,,,,1.0,0.0001
2026-06-21T13:14:10.806003+00:00,BTC,BTC-26JUN26-115000-P,put,115000.0,2026-06-26T08:00:00+00:00,4.7818,64069.15,64049.52,0.79548182,50950.2287,95.7,,,0.786,0.8035,,,0.7964,286.7,0.2,,,,,,1.0,0.0001
2026-06-21T13:14:10.806003+00:00,BTC,BTC-26JUN26-190000-P,put,190000.0,2026-06-26T08:00:00+00:00,4.7818,64069.15,64049.52,1.96644822,125950.0646,125.23,,,1.866,2.0735,,,1.4255,5.8,0.0,,,,,,1.0,0.0001
2026-06-21T13:14:10.806003+00:00,BTC,BTC-25SEP26-170000-C,call,170000.0,2026-09-25T08:00:00+00:00,95.7818,64069.15,64693.31,0.00020919,13.5332,63.19,,,0.0001,0.0003,,,0.0003,352.6,0.0,,,,,,1.0,0.0001
2026-06-21T13:14:10.806003+00:00,BTC,BTC-3JUL26-66000-P,put,66000.0,2026-07-03T08:00:00+00:00,11.7818,64069.15,64097.61,0.04295951,2753.6019,34.95,,,0.042,0.0435,,,0.038,75.0,0.3,,,,,,1.0,0.0001
2026-06-21T13:14:10.806003+00:00,BTC,BTC-25DEC26-60000-C,call,60000.0,2026-12-25T08:00:00+00:00,186.7818,64069.15,65359.55,0.16427272,10736.7911,43.61,,,0.162,0.167,,,0.1815,285.1,0.0,,,,,,1.0,0.0001
2026-06-21T13:14:10.806003+00:00,BTC,BTC-22JUN26-66000-C,call,66000.0,2026-06-22T08:00:00+00:00,0.7818,64069.15,64069.15,0.00030152,19.3181,37.3,,,0.0002,0.0004,,,0.0003,81.1,72.6,,,,,,1.0,0.0001
2026-06-21T13:14:10.806003+00:00,BTC,BTC-25SEP26-190000-P,put,190000.0,2026-09-25T08:00:00+00:00,95.7818,64069.15,64693.31,1.93703532,125313.2264,65.5,,,1.838,2.045,,,,0.0,0.0,,,,,,1.0,0.0001
2026-06-21T13:14:10.806003+00:00,BTC,BTC-31JUL26-98000-C,call,98000.0,2026-07-31T08:00:00+00:00,39.7818,64069.15,64244.2,0.0003894,25.0167,50.77,,,0.0003,0.0005,,,0.0004,1128.0,0.0,,,,,,1.0,0.0001
2026-06-21T13:14:10.806003+00:00,BTC,BTC-28AUG26-73000-C,call,73000.0,2026-08-28T08:00:00+00:00,67.7818,64069.15,64432.85,0.01926454,1241.2692,35.71,,,0.0185,0.02,,,0.0177,170.1,0.7,,,,,,1.0,0.0001
2026-06-21T13:14:10.806003+00:00,BTC,BTC-22JUN26-57000-P,put,57000.0,2026-06-22T08:00:00+00:00,0.7818,64069.15,64069.15,3.88e-06,0.2486,75.97,,,,0.0001,,,0.0002,282.2,73.6,,,,,,1.0,0.0001
2026-06-21T13:14:10.806003+00:00,BTC,BTC-24JUN26-61500-P,put,61500.0,2026-06-24T08:00:00+00:00,2.7818,64069.15,64069.15,0.00298327,191.1356,44.93,,,0.0027,0.0032,,,0.0026,30.8,30.9,,,,,,1.0,0.0001
2026-06-21T13:14:10.806003+00:00,BTC,BTC-26JUN26-250000-C,call,250000.0,2026-06-26T08:00:00+00:00,4.7818,64069.15,64049.52,0.0,0.0,125.23,,,,0.0001,,,0.0001,200.1,0.0,,,,,,1.0,0.0001
2026-06-21T13:14:10.806003+00:00,BTC,BTC-24JUN26-68000-P,put,68000.0,2026-06-24T08:00:00+00:00,2.7818,64069.15,64069.15,0.06222372,3986.6209,39.61,,,0.034,0.073,,,,0.0,0.0,,,,,,1.0,0.0001
2026-06-21T13:14:10.806003+00:00,BTC,BTC-26MAR27-55000-P,put,55000.0,2027-03-26T08:00:00+00:00,277.7818,64069.15,66061.49,0.07701767,5087.902,46.12,,,0.076,0.078,,,0.0845,1346.4,0.0,,,,,,1.0,0.0001
2026-06-21T13:14:10.806003+00:00,BTC,BTC-31JUL26-84000-C,call,84000.0,2026-07-31T08:00:00+00:00,39.7818,64069.15,64244.2,0.00100303,64.4389,39.03,,,0.0009,0.0012,,,0.001,664.8,1.1,,,,,,1.0,0.0001
