snapshot_time_utc,currency,instrument_name,option_type,strike,expiry_utc,dte_days,index_price,underlying_price,mark_price,mark_price_usd,mark_iv,bid_iv,ask_iv,best_bid_price,best_ask_price,best_bid_amount,best_ask_amount,last_price,open_interest,volume_24h,delta,gamma,vega,theta,rho,contract_size,tick_size
2026-06-21T13:21:25.867308+00:00,BTC,BTC-22JUN26-56000-C,call,56000.0,2026-06-22T08:00:00+00:00,0.7768,64098.54,64098.54,0.1263,8095.6456,76.9,0.0,395.14,0.1225,0.149,9.4,9.4,,0.0,0.0,0.99993,0.0,0.00786,-0.30234,1.19215,1.0,0.0001
2026-06-21T13:21:25.867308+00:00,BTC,BTC-22JUN26-56000-P,put,56000.0,2026-06-22T08:00:00+00:00,0.7768,64098.54,64098.54,0.0,0.0,76.9,0.0,116.94,0.0,0.0001,0.0,34.1,0.0001,96.9,40.2,-7e-05,0.0,0.00786,-0.03559,-9e-05,1.0,0.0001
2026-06-21T13:21:25.867308+00:00,BTC,BTC-22JUN26-57000-C,call,57000.0,2026-06-22T08:00:00+00:00,0.7768,64098.54,64098.54,0.1107,7095.7084,75.97,0.0,194.08,0.107,0.1145,9.3,9.3,,0.0,0.0,0.99962,0.0,0.04093,-1.5547,1.213,1.0,0.0001
2026-06-21T13:21:25.867308+00:00,BTC,BTC-22JUN26-57000-P,put,57000.0,2026-06-22T08:00:00+00:00,0.7768,64098.54,64098.54,0.0,0.0,75.97,0.0,103.17,0.0,0.0001,0.0,24.1,0.0002,282.2,73.6,-0.00038,0.0,0.04093,-0.22688,-0.00053,1.0,0.0001
2026-06-21T13:21:25.867308+00:00,BTC,BTC-22JUN26-58000-C,call,58000.0,2026-06-22T08:00:00+00:00,0.7768,64098.54,64098.54,0.0951,6095.7712,70.55,0.0,173.47,0.0785,0.099,9.1,9.1,,0.0,0.0,0.99899,0.0,0.10046,-3.54403,1.23343,1.0,0.0001
2026-06-21T13:21:25.867308+00:00,BTC,BTC-22JUN26-58000-P,put,58000.0,2026-06-22T08:00:00+00:00,0.7768,64098.54,64098.54,0.0,0.0,70.55,0.0,89.47,0.0,0.0001,0.0,23.0,0.0003,97.1,12.9,-0.00101,0.0,0.10046,-0.59547,-0.00139,1.0,0.0001
2026-06-21T13:21:25.867308+00:00,BTC,BTC-22JUN26-59000-C,call,59000.0,2026-06-22T08:00:00+00:00,0.7768,64098.54,64098.54,0.0795,5095.8339,66.27,0.0,173.32,0.0575,0.0855,9.0,0.2,,0.0,0.0,0.9968,0.0,0.28714,-9.51365,1.25169,1.0,0.0001
2026-06-21T13:21:25.867308+00:00,BTC,BTC-22JUN26-59000-P,put,59000.0,2026-06-22T08:00:00+00:00,0.7768,64098.54,64098.54,0.0,0.0,66.27,0.0,75.81,0.0,0.0001,0.0,29.7,0.0001,127.3,137.7,-0.0032,0.0,0.28714,-1.94532,-0.00441,1.0,0.0001
2026-06-21T13:21:25.867308+00:00,BTC,BTC-22JUN26-60000-C,call,60000.0,2026-06-22T08:00:00+00:00,0.7768,64098.54,64097.96,0.064,4102.2694,63.2,0.0,193.84,0.04,0.0755,8.8,0.2,0.056,0.1,0.0,0.98871,2e-05,0.87631,-27.68912,1.26183,1.0,0.0001
2026-06-21T13:21:25.867308+00:00,BTC,BTC-22JUN26-60000-P,put,60000.0,2026-06-22T08:00:00+00:00,0.7768,64098.54,64097.96,0.0001,6.4098,63.2,0.0,68.34,0.0,0.0002,0.0,26.8,0.0001,109.7,44.8,-0.01129,2e-05,0.87631,-7.38542,-0.01557,1.0,0.0001
2026-06-21T13:21:25.867308+00:00,BTC,BTC-22JUN26-60500-C,call,60500.0,2026-06-22T08:00:00+00:00,0.7768,64098.54,64097.96,0.0562,3602.3054,57.7,0.0,292.09,0.052,0.085,8.8,8.8,,0.0,0.0,0.98548,2e-05,1.0889,-31.41682,1.26804,1.0,0.0001
2026-06-21T13:21:25.867308+00:00,BTC,BTC-22JUN26-60500-P,put,60500.0,2026-06-22T08:00:00+00:00,0.7768,64098.54,64097.55,0.0001,6.4098,57.7,55.24,60.93,0.0001,0.0002,14.5,20.0,0.0006,55.5,42.0,-0.01453,2e-05,1.08952,-8.92789,-0.02001,1.0,0.0001
2026-06-21T13:21:25.867308+00:00,BTC,BTC-22JUN26-61000-C,call,61000.0,2026-06-22T08:00:00+00:00,0.7768,64098.54,64097.55,0.0484,3102.3214,52.29,0.0,108.71,0.03,0.0525,8.8,8.8,,0.0,0.0,0.98054,3e-05,1.39933,-36.58712,1.27189,1.0,0.0001
2026-06-21T13:21:25.867308+00:00,BTC,BTC-22JUN26-61000-P,put,61000.0,2026-06-22T08:00:00+00:00,0.7768,64098.54,64097.55,0.0002,12.8195,52.29,48.33,57.13,0.0001,0.0003,30.7,25.1,0.0002,1086.1,50.1,-0.01946,3e-05,1.39933,-11.22996,-0.0268,1.0,0.0001
2026-06-21T13:21:25.867308+00:00,BTC,BTC-22JUN26-61500-C,call,61500.0,2026-06-22T08:00:00+00:00,0.7768,64098.54,64097.55,0.0407,2608.7703,48.35,0.0,284.18,0.029,0.074,0.2,8.8,0.0215,9.9,0.0,0.96894,5e-05,2.07124,-50.07519,1.26657,1.0,0.0001
2026-06-21T13:21:25.867308+00:00,BTC,BTC-22JUN26-61500-P,put,61500.0,2026-06-22T08:00:00+00:00,0.7768,64098.54,64097.87,0.0003,19.2294,48.35,45.93,51.88,0.0002,0.0004,20.2,48.0,0.0002,959.0,20.5,-0.03105,5e-05,2.07039,-17.63737,-0.04274,1.0,0.0001
2026-06-21T13:21:25.867308+00:00,BTC,BTC-22JUN26-62000-C,call,62000.0,2026-06-22T08:00:00+00:00,0.7768,64098.54,64097.87,0.033,2115.2297,43.03,0.0,85.14,0.0295,0.037,0.2,8.8,0.0155,8.2,0.0,0.95408,8e-05,2.84929,-61.30885,1.2568,1.0,0.0001
2026-06-21T13:21:25.867308+00:00,BTC,BTC-22JUN26-62000-P,put,62000.0,2026-06-22T08:00:00+00:00,0.7768,64098.54,64097.87,0.0004,25.6391,43.03,41.15,45.56,0.0003,0.0005,28.0,20.0,0.0002,86.7,35.6,-0.04592,8e-05,2.84929,-24.60357,-0.06318,1.0,0.0001
2026-06-21T13:21:25.867308+00:00,BTC,BTC-22JUN26-62500-C,call,62500.0,2026-06-22T08:00:00+00:00,0.7768,64098.54,64097.61,0.0255,1634.4891,39.36,0.0,67.12,0.0225,0.0285,0.2,0.2,0.0315,53.1,0.1,0.91917,0.00013,4.42929,-87.1683,1.21831,1.0,0.0001
2026-06-21T13:21:25.867308+00:00,BTC,BTC-22JUN26-62500-P,put,62500.0,2026-06-22T08:00:00+00:00,0.7768,64098.54,64097.61,0.0007,44.8683,39.36,38.3,42.44,0.0006,0.0009,0.4,55.3,0.0005,113.1,57.8,-0.08083,0.00013,4.42929,-43.63802,-0.11112,1.0,0.0001
2026-06-21T13:21:25.867308+00:00,BTC,BTC-22JUN26-63000-C,call,63000.0,2026-06-22T08:00:00+00:00,0.7768,64098.54,64097.61,0.0183,1172.9863,36.11,0.0,56.14,0.0155,0.021,0.2,0.2,0.017,167.1,0.1,0.85211,0.00022,6.82782,-123.26904,1.13668,1.0,0.0001
2026-06-21T13:21:25.867308+00:00,BTC,BTC-22JUN26-63000-P,put,63000.0,2026-06-22T08:00:00+00:00,0.7768,64098.54,64097.61,0.0013,83.3269,36.11,34.36,38.11,0.0011,0.0015,43.2,9.8,0.0018,168.6,126.8,-0.14789,0.00022,6.82782,-83.18684,-0.20339,1.0,0.0001
2026-06-21T13:21:25.867308+00:00,BTC,BTC-22JUN26-63500-C,call,63500.0,2026-06-22T08:00:00+00:00,0.7768,64098.54,64097.65,0.0119,762.762,34.34,23.66,40.55,0.0105,0.013,2.3,2.5,0.01,143.6,59.4,0.72556,0.00033,9.85417,-169.18767,0.97285,1.0,0.0001
2026-06-21T13:21:25.867308+00:00,BTC,BTC-22JUN26-63500-P,put,63500.0,2026-06-22T08:00:00+00:00,0.7768,64098.54,64097.65,0.0027,173.0637,34.34,33.71,35.66,0.0026,0.0029,2.9,0.2,0.0024,39.0,36.8,-0.27444,0.00033,9.85417,-169.18767,-0.37785,1.0,0.0001
2026-06-21T13:21:25.867308+00:00,BTC,BTC-22JUN26-64000-C,call,64000.0,2026-06-22T08:00:00+00:00,0.7768,64098.54,64097.65,0.0069,442.2738,33.69,31.04,36.5,0.0065,0.0075,21.2,70.2,0.006,132.2,79.3,0.54217,0.0004,11.72762,-197.5256,0.72968,1.0,0.0001
2026-06-21T13:21:25.867308+00:00,BTC,BTC-22JUN26-64000-P,put,64000.0,2026-06-22T08:00:00+00:00,0.7768,64098.54,64097.65,0.0055,352.5371,33.69,31.16,36.63,0.005,0.006,10.1,46.6,0.005,103.1,131.1,-0.45783,0.0004,11.72762,-197.5256,-0.63166,1.0,0.0001
2026-06-21T13:21:25.867308+00:00,BTC,BTC-22JUN26-64500-C,call,64500.0,2026-06-22T08:00:00+00:00,0.7768,64098.54,64097.66,0.0035,224.3418,33.55,32.05,34.41,0.0033,0.0037,0.6,17.4,0.0038,60.4,60.8,0.3458,0.00037,10.90126,-182.86006,0.46663,1.0,0.0001
